host_stamp_sec,obj_msg_stamp_sec,B_tcp_x,B_tcp_y,B_tcp_z,B_tcp_rx,B_tcp_ry,B_tcp_rz,C_p_O_x,C_p_O_y,C_p_O_z,C_q_O_x,C_q_O_y,C_q_O_z,C_q_O_w
1769065777.409645319,1769065777.409645319,0.2076048292071408,-0.5802005053788731,0.5087301054147291,1.7841123490606603,1.291014353236653,-0.0039567298190173105,0.05378385465598025,-0.07200732491460869,0.42426674399421055,-0.36795280286131016,0.7092942187644966,0.5578582646794065,0.22429133425669787171769065784.260561943,1769065784.260561943,0.20755530628684873,-0.5802226561331132,0.5087114352059979,1.711780516222907,0.9862485612866588,1.2500458434405148,0.15038793779297085,-0.11675350335904197,0.4004019094709035,0.09841146171031219,0.8491520612240783,0.40934485354873995,0.318893010265354771769065792.095527887,1769065792.095527887,0.20757964095735307,-0.5801623533019992,0.5088303895059695,1.4654621803372436,1.3125739655652453,-1.25614144363573,-0.03760486326296691,-0.13006606615085128,0.41278798457948346,0.7347482556728919,-0.37764794439910726,-0.5589820766436523,-0.07117632238266865
11769065818.770302296,1769065818.770302296,0.2076138793107701,-0.5801901651630678,0.5087353151975562,1.7840498093953576,1.2910324809715146,-0.003903356227335467,0.05382155961041484,-0.07192553855440446,0.424186381922862,-0.36727219911476844,0.709663829471562,0.557821810920598,0.22432834898519657
1769065826.777851343,1769065826.777851343,0.20755481915933433,-0.5802149457579983,0.5087425243410428,1.711678052885035,0.9862875356079124,1.2500393658350035,0.15032792900069622,-0.11650512808876963,0.39971624193186495,0.09932298490939515,0.8496826880914513,0.4084352127957726,0.3183629236812062
1769065834.073329210,1769065834.073329210,0.20759424179488822,-0.5801607550033607,0.5088296052113901,1.4653890172335273,1.3125421172076717,-1.2561623803184452,-0.03759778407942031,-0.12986524071318037,0.41265125183942725,0.734250659723157,-0.37864220213883554,-0.5589277096512415,-0.0714553485722341111769065844.883423090,1769065844.883423090,0.20755292053381963,-0.580208874122134,0.5087621298680992,0.8375181452352539,1.5606277795090977,0.1241110837105969,0.12187753551420936,-0.1071497969674454,0.38473254224381065,-0.5011573983810617,0.733562914270395,0.19458616701173795,0.41576788772430595
1769065854.953670263,1769065854.953670263,0.26196577045724373,-0.4897171058916216,0.45176850968303134,1.7838665520630685,1.2909501177419145,-0.004141131895944347,0.15434624800020538,-0.04535409707318005,0.48429180078483064,-0.3657912672137791,0.7093738571777773,0.5595254933193851,0.223420459914839941769065867.849152327,1769065867.849152327,0.262001395386451,-0.4897059778400226,0.4517478398501459,1.4654846676349802,1.3125592538686353,-1.2561843432815822,0.06267790199758577,-0.10298066979493353,0.47227719939575746,0.7329712615760436,-0.3789811822359009,-0.5607097086525002,-0.06878238028398127171769065876.692463636,1769065876.692463636,0.2619784556494822,-0.4897435403182232,0.45176025741187137,0.8373664609889803,1.5605959727732521,0.1240129618169149,0.2220396101117862,-0.07997005931170609,0.4432750667749843,-0.5008956786105868,0.7349497517948563,0.19739574785679406,0.41229516152142204
1769065881.561591625,1769065881.561591625,0.2620075486192522,-0.48974023859454463,0.4516739476277362,2.6528207948478673,0.7472574288533101,-0.16083199801142506,0.13023908481006152,-0.05288099579166058,0.5670129654004459,-0.15930617256444407,0.551580812494311,0.818726658593286,-0.008173688252944884171769065886.968097687,1769065886.968097687,0.31642161998463786,-0.39929875470255544,0.3946578342231166,1.7839631657345245,1.2910057864584974,-0.0040327004799418685,0.2544484487275536,-0.018557763494490107,0.5443760146803137,-0.36573159422957674,0.7085947546515283,0.5602008362292863,0.22429645059750924
1769065893.365633726,1769065893.365633726,0.3163898407259836,-0.3993066657624366,0.39464038188175554,1.7115700258269648,0.9863521527745186,1.2499254425139903,0.35167758507547275,-0.06279991069582469,0.5206075442922632,0.0990227053864301,0.8501235985744252,0.40824274153330425,0.31752517215205717
1769065898.534052134,1769065898.534052134,0.3164187677876913,-0.3992548914222544,0.394637532312107,1.4655233260706522,1.3125975766055022,-1.2560343837153258,0.16290939142776187,-0.07615241047679516,0.532033677435373,0.7321645557035069,-0.3789762836304133,-0.5619135351853023,-0.06756640283989693
1769065904.270528316,1769065904.270528316,0.31641529089542536,-0.39929370980261913,0.394659560124819,1.4890915474757402,0.4089792714411694,-0.0895998187892113,0.19982577743606192,-0.07880531038932417,0.48733975714113653,-0.3725472720438806,0.8446506502145013,0.3599249925723585,-0.1350104029572197511769065908.501417637,1769065908.501417637,0.3164165101886229,-0.3993186738549605,0.39464174750353964,0.8375468444806284,1.5606039035176626,0.12421558854578384,0.32281706809422583,-0.05320613567856699,0.5040185182013629,-0.49997496375032796,0.7351502404566888,0.19785375853575768,0.4128353785864349
1769065921.377026081,1769065921.377026081,0.026012587001048956,-0.5696938971039285,0.3522231100637922,1.7116275278591022,0.9865767558313459,1.2499546994386936,0.019327106086292976,-0.0716728897351945,0.5925535549745473,0.09713117179426027,0.8503929192128811,0.4066748746152331,0.31939468495131973
